Life expectancy ,Adult Mortality,GDP,Income composition of resources,Status
60,249,783.94791,0.481,1
60,356,422.51968,0.578,1
61,26,893.8793645,0.43,1
61,229,464.229758,0.444,1
61,288,539.1538211,0.447,1
61,255,795.97519,0.461,1
61,25,471.4565823,0.485,1
61,296,4116.46693,0.637,1
61.1,258,454.1222236,0.419,1
61.1,28,55.47626,0.455,1
61.1,295,956.668952,0.461,1
61.1,314,1738.8822,0.57,1
61.1,349,6346.15624,0.669,1
61.2,219,113.3128,0.475,1
61.2,278,987.4453967,0.53,1
61.2,263,1574.978653,0.554,1
61.3,236,89.838296,0.422,1
61.3,273,1325.99724,0.441,1
61.3,251,778.5454199,0.465,1
61.4,223,43.646498,0.345,1
61.4,311,43.7544499,0.402,1
61.4,259,452.38717,0.427,1
61.4,254,1115.6952,0.44,1
61.4,29,1178.72469,0.469,1
61.4,217,1167.535689,0.475,1
61.4,263,292.157443,0.478,1
61.4,288,727.777345,0.646,1
61.5,253,48.615184,0.458,1
61.5,38,719.172669,0.483,1
61.6,288,1166.66337,0.477,1
61.6,257,1629.8222,0.563,1
61.6,291,8352.81711,0.645,1
61.6,298,194.2746,0.651,1
61.7,29,87.9387673,0,1
61.7,215,146.83851,0.476,1
61.7,317,429.6561,0.589,1
61.7,31,763.66223,0.652,1
61.8,22,358.99731,0.351,1
61.8,261,341.39992,0.401,1
61.8,251,1291.528826,0.444,1
61.8,268,143.986898,0.451,1
61.8,266,615.8198192,0.458,1
61.8,246,769.1742883,0.476,1
61.8,286,1366.879112,0.485,1
61.8,33,1313.889646,0.576,1
61.9,261,377.8482928,0.483,1
61.9,254,1814.492297,0.57,1
62,312,765.8632358,0,1
62,329,317.3294336,0.405,1
62,266,379.689583,0.406,1
62,289,1214.77118,0.427,1
62,228,46.9542322,0.446,1
62,248,1226.884381,0.456,1
62,261,48.61552,0.475,1
62,214,123.383675,0.484,1
62,285,177.867119,0.494,1
62,347,6479.625659,0.66,1
62.1,298,482.14994,0.404,1
62.1,243,193.187484,0.417,1
62.1,23,95.3978522,0.425,1
62.1,259,674.7564147,0.462,1
62.1,263,1155.2582,0.536,1
62.1,253,1432.227943,0.576,1
62.2,263,1536.15685,0.46,1
62.2,241,829.7586885,0.479,1
62.2,212,1393.261593,0.487,1
62.2,284,271.318741,0.501,1
62.2,325,7645.21469,0.678,1
62.3,259,74.9358452,0.47,1
62.3,259,766.8437623,0.477,1
62.3,229,467.5438297,0.484,1
62.3,291,693.8963829,0.488,1
62.3,259,47.733254,0.491,1
62.3,294,8754.113376,0.66,1
62.4,281,229.95364,0.506,1
62.4,249,1361.11395,0.575,1
62.4,36,4153.497885,0.598,1
62.5,282,885.6382245,0,1
62.5,239,138.9249275,0.427,1
62.5,238,231.42554,0.439,1
62.5,243,1476.47887,0.461,1
62.5,251,668.297646,0.466,1
62.5,237,788.632653,0.484,1
62.5,224,438.864634,0.489,1
62.5,29,1364.283745,0.491,1
62.6,249,354.8463544,0.411,1
62.6,258,1229.114798,0.541,1
62.7,241,1666.857757,0.463,1
62.7,256,1622.637974,0.464,1
62.7,253,81.265673,0.483,1
62.7,28,145.57838,0.501,1
62.7,278,2182.716565,0.511,1
62.8,225,11.33678,0.435,1
62.8,235,143.77651,0.435,1
62.8,19,533.8624114,0.445,1
62.8,26,563.491487,0.454,1
62.8,225,51.216381,0.497,1
62.8,254,415.6893226,0.5,1
62.8,274,474.2133361,0.582,1
62.8,289,1716.2258,0.664,1
62.9,286,582.775532,0.405,1
62.9,234,474.2238766,0.47,1
62.9,2,711.4699463,0.487,1
62.9,233,834.341949,0.49,1
62.9,222,447.138966,0.494,1
62.9,255,1335.6458,0.546,1
62.9,328,5769.77258,0.665,1
63,232,391.515524,0.331,1
63,268,362.4213785,0.445,1
63,226,528.586613,0.447,1
63,189,51.6568157,0.45,1
63,262,648.38717,0.451,1
63,252,174.91511,0.467,1
63,26,1326.66882,0.509,1
63,294,967.34773,0.523,1
63,275,1224.41554,0.53,1
63,328,185.793359,0.565,1
63,299,5191.58381,0.604,1
63.1,238,246.375621,0.447,1
63.1,245,83.1148117,0.487,1
63.1,226,555.8185378,0.501,1
63.1,25,1158.256469,0.513,1
63.2,231,219.782326,0.445,1
63.2,23,248.6183539,0.446,1
63.2,187,499.8633,0.457,1
63.2,235,1892.894352,0.468,1
63.2,23,852.954379,0.497,1
63.2,266,524.145924,0.588,1
63.3,248,174.51475,0,1
63.3,229,967.917468,0,1
63.3,273,997.7417141,0,1
63.3,241,468.567249,0.422,1
63.3,219,466.2842,0.499,1
63.3,248,412.739341,0.503,1
63.4,231,1283.885977,0,1
63.4,225,649.342153,0.504,1
63.4,249,1349.97144,0.55,1
63.4,3,729.231453,0.687,1
63.5,238,1453.917166,0,1
63.5,219,12.566464,0.444,1
63.5,228,219.8156688,0.455,1
63.5,185,563.594342,0.465,1
63.5,241,1862.167274,0.47,1
63.5,232,1955.66799,0.478,1
63.5,24,814.5463952,0.49,1
63.5,227,727.6463868,0.498,1
63.5,276,9774.18117,0.669,1
63.7,245,2136.66815,0,1
63.7,237,52.1535887,0.427,1
63.7,183,649.848233,0.474,1
63.7,26,478.331859,0.492,1
63.7,216,541.1352279,0.505,1
63.7,198,138.436633,0.529,1
63.8,224,643.17518,0,1
63.8,247,617.317648,0.464,1
63.8,229,2176.89829,0.485,1
63.8,241,454.963464,0.504,1
63.8,224,693.345683,0.509,1
63.8,263,571.51883,0.599,1
63.9,224,247.24276,0.465,1
63.9,292,1229.958,0.676,1
64,221,774.4763388,0,1
64,37,77.5773486,0.446,1
64,224,62.547286,0.451,1
64,267,245.1235876,0.466,1
64,214,621.3183767,0.518,1
64,194,17.8159721,0.535,1
64,271,646.561295,0.609,1
64,284,797.8377432,0.621,1
64.1,241,26.371428,0,1
64.1,222,796.7937634,0,1
64.1,216,539.8791529,0.483,1
64.1,225,2513.884661,0.488,1
64.2,263,197.45788,0,1
64.2,234,571.1622759,0.435,1
64.2,22,296.97284,0.474,1
64.2,179,873.772727,0.501,1
64.2,286,77.625783,0.693,1
64.3,219,734.9492461,0,1
64.3,212,11.631377,0.449,1
64.3,22,253.72412,0.457,1
64.3,235,443.9611,0.506,1
64.3,222,81.86157,0.514,1
64.3,193,189.3878519,0.543,1
64.3,268,56.971392,0.612,1
64.4,178,95.4327931,0.505,1
64.4,211,77.819,0.526,1
64.4,284,149.926751,0.685,1
64.4,282,268.123657,0.714,1
64.5,235,394.467675,0,1
64.5,217,41.451,0.484,1
64.5,274,998.8226671,0.637,1
64.6,217,826.58554,0,1
64.6,239,678.796973,0.475,1
64.6,177,139.31288,0.513,1
64.6,255,9679.742995,0.678,1
64.6,322,2975.132778,0.733,1
64.6,294,3771.278957,0.737,1
64.7,215,115.3865,0,1
64.7,218,287.4156,0.463,1
64.7,23,461.723722,0.508,1
64.7,22,843.89447,0.521,1
64.7,249,2351.812429,0.631,1
64.7,276,1658.31146,0.7,1
64.7,287,2874.288291,0.725,1
64.8,214,113.6286,0,1
64.8,225,645.4637627,0.441,1
64.8,175,16.63999,0.514,1
64.8,28,792.259698,0.536,1
64.8,313,2375.5944,0.727,1
64.9,213,1214.556667,0,1
64.9,26,18.25321,0.455,1
64.9,186,441.53226,0.511,1
64.9,321,412.372294,0.741,1
65,254,1247.61392,0,1
65,242,773.8698713,0.415,1
65,29,465.311876,0.452,1
65,263,584.25921,0.479,1
65,24,631.675789,0.495,1
65,211,1357.632211,0.574,1
65,212,1151.555618,0.576,1
65,238,198.455216,0.619,1
65,37,6741.293948,0.64,1
65,271,1334.651896,0.649,1
65,37,1771.58662,0.709,1
65,295,5291.57565,0.747,1
65,327,5323.473877,0.748,1
65.1,225,452.4631926,0.509,1
65.1,172,14.142268,0.521,1
65.1,217,894.927988,0.527,1
65.1,21,1413.3234,0.572,1
65.1,237,145.58861,0.613,1
65.1,268,7497.762376,0.697,1
65.1,38,21.362386,0.72,1
65.2,233,688.8768557,0.485,1
65.2,211,741.777116,0.504,1
65.2,26,118.166373,0.546,1
65.2,182,236.314438,0.553,1
65.2,28,1297.285141,0.576,1
65.2,24,1945.6395,0.622,1
65.3,173,45.63371,0.459,1
65.3,27,1493.1651,0.584,1
65.3,244,96.8674827,0.609,1
65.3,237,986.7958173,0.611,1
65.3,213,1148.56996,0.624,1
65.3,288,6771.414797,0.754,1
65.4,28,317.89198,0.469,1
65.4,29,987.7365832,0.515,1
65.4,215,1126.46212,0.531,1
65.4,246,946.599372,0.602,1
65.4,247,925.582546,0.606,1
65.4,228,734.42525,0.678,1
65.5,22,41.8575951,0.511,1
65.5,167,1226.215314,0.525,1
65.5,23,991.484634,0.556,1
65.5,194,337.359236,0.572,1
65.5,26,1692.613277,0.585,1
65.5,237,9692.163874,0.687,1
65.6,215,436.459223,0,1
65.6,2,136.4518,0.463,1
65.6,199,745.7877873,0.511,1
65.6,27,1186.423937,0.526,1
65.6,229,3439.597513,0.624,1
65.6,217,5649.978486,0.665,1
65.6,22,6675.262954,0.672,1
65.7,23,76.5699517,0.488,1
65.7,165,1261.28967,0.529,1
65.7,24,1763.815497,0.581,1
65.7,232,2327.58324,0.62,1
65.7,256,6532.651,0.698,1
65.8,245,1335.45696,0,1
65.8,211,4439.23,0,1
65.8,235,154.518572,0.455,1
65.8,168,42.5981152,0.468,1
65.8,21,199.57146,0.533,1
65.8,173,524.8959363,0.541,1
65.8,22,1724.361737,0.589,1
65.8,232,5749.44752,0.619,1
65.8,22,3785.935665,0.63,1
65.8,248,4737.66996,0.637,1
65.9,25,1171.58257,0.533,1
65.9,177,39.281834,0.563,1
65.9,183,44.2872665,0.579,1
65.9,221,326.281212,0.618,1
65.9,242,5421.343953,0.632,1
65.9,218,3944.178173,0.633,1
65.9,227,3129.224922,0.636,1
65.9,26,1634.81431,0.661,1
66,259,72.759313,0.459,1
66,223,697.7451989,0.461,1
66,196,148.912351,0.474,1
66,21,348.6314534,0.476,1
66,163,1272.44161,0.538,1
66,271,186.76538,0.542,1
66,2,19.317765,0.563,1
66,217,43.82321,0.636,1
66,217,7962.365824,0.683,1
66,229,7388.984144,0.694,1
66.1,227,71.348397,0.493,1
66.1,195,738.2326684,0.52,1
66.1,181,52.35956,0.586,1
66.1,2,1684.54274,0.597,1
66.1,218,2716.35256,0.618,1
66.1,232,5488.131712,0.625,1
66.2,227,944.81684,0.442,1
66.2,22,1168.83947,0.54,1
66.2,24,1129.754961,0.542,1
66.2,162,1316.98966,0.542,1
66.2,168,643.71911,0.566,1
66.2,215,4136.689919,0.638,1
66.3,164,4.6135745,0.476,1
66.3,198,1424.483611,0.586,1
66.3,188,78.92744,0.597,1
66.3,218,2576.124957,0.618,1
66.3,215,6432.668768,0.688,1
66.3,25,265.353659,0.693,1
66.4,192,152.443873,0.483,1
66.4,21,1262.893782,0.547,1
66.4,161,1431.244865,0.548,1
66.4,196,1345.77153,0.569,1
66.4,178,76.914128,0.592,1
66.4,3,692.194398,0.754,1
66.5,238,1741.142552,0,1
66.5,22,784.9562874,0.446,1
66.5,188,747.9817455,0.604,1
66.6,194,393.8843518,0.486,1
66.6,192,785.6928841,0.519,1
66.6,198,134.326189,0.546,1
66.6,199,1194.59137,0.552,1
66.6,165,757.3114436,0.599,1
66.6,16,655.974326,0.636,1
66.6,258,8513.564645,0.758,1
66.7,188,98.7256145,0.491,1
66.7,174,666.3458569,0.601,1
66.7,189,899.5556857,0.608,1
66.8,215,744.7657423,0.453,1
66.8,161,432.7388972,0.484,1
66.8,193,1461.671957,0.58,1
66.8,219,138.91977,0.618,1
66.8,221,957.287441,0.622,1
66.8,221,1.68135,0.625,1
66.8,29,1849.63911,0.628,1
66.9,194,138.949959,0.553,1
66.9,163,849.8626972,0.599,1
66.9,189,164.59447,0.613,1
66.9,235,1717.898761,0.686,1
67,234,1795.18137,0,1
67,322,326.825642,0.406,1
67,261,415.361958,0.416,1
67,261,679.7539949,0.423,1
67,325,662.492293,0.478,1
67,189,473.844449,0.492,1
67,336,118.69383,0.507,1
67,19,882.491462,0.533,1
67,223,1194.697155,0.642,1
67,278,1828.717626,0.707,1
67.1,189,558.221144,0,1
67.1,29,818.442619,0.459,1
67.1,192,1619.532678,0.559,1
67.1,186,383.3494997,0.6,1
67.2,21,1391.816923,0.603,1
67.2,161,114.56179,0.607,1
67.2,183,396.129969,0.607,1
67.2,19,126.928834,0.629,1
67.2,217,11.553196,0.631,1
67.2,262,1479.383142,0.687,1
67.3,158,46.7579167,0.491,1
67.3,191,1821.878734,0.562,1
67.3,19,1446.98541,0.59,1
67.3,171,738.3475227,0.603,1
67.3,192,546.776852,0.62,1
67.3,191,1586.254,0.632,1
67.3,218,179.3715,0.636,1
67.3,219,1391.772325,0.646,1
67.3,235,3769.595255,0.701,1
67.3,282,911.25385,0.761,1
67.4,232,177.234497,0,1
67.4,224,1888.61829,0,1
67.4,24,88.874858,0.465,1
67.4,186,95.244132,0.54,1
67.4,185,456.734892,0.594,1
67.4,159,1117.77724,0.618,1
67.4,225,2139.625631,0.673,1
67.4,267,1367.352433,0.7,1
67.5,183,48.7299,0.502,1
67.5,19,1624.63963,0.565,1
67.5,19,1855.93915,0.638,1
67.5,151,73.6838434,0.642,1
67.5,216,1672.685433,0.648,1
67.5,217,1919.466195,0.655,1
67.5,257,635.789635,0.669,1
67.5,277,368.68998,0.723,1
67.5,278,11635.2637,0.769,1
67.6,2,948.6592511,0.47,1
67.6,2,146.931125,0.482,1
67.6,187,1452.195373,0.599,1
67.6,185,654.2838373,0.626,1
67.6,256,879.475486,0.683,1
67.6,256,148.522488,0.691,1
67.7,219,1598.77512,0,1
67.7,221,1655.596261,0.539,1
67.7,158,117.765674,0.62,1
67.7,189,216.52766,0.641,1
67.7,253,78.738243,0.673,1
67.7,221,276.1338,0.681,1
67.7,254,1244.373185,0.681,1
67.7,253,1819.525644,0.695,1
67.7,267,233.18831,0.716,1
67.7,273,3891.37823,0.73,1
67.8,155,484.155471,0.499,1
67.8,183,128.419568,0.546,1
67.8,183,465.1198869,0.613,1
67.8,184,83.476942,0.631,1
67.8,146,763.73858,0.651,1
67.8,154,883.6439965,0.659,1
67.8,221,238.891729,0.683,1
67.8,231,4368.82248,0.712,1
67.8,235,7165.2775,0.758,1
67.8,236,97.649972,0.763,1
67.9,228,2178.921383,0,1
67.9,221,2232.513244,0,1
67.9,184,182.28625,0.644,1
67.9,189,2254.44566,0.645,1
67.9,199,673.74737,0.658,1
67.9,218,2129.499242,0.662,1
67.9,22,2259.55796,0.687,1
68,223,263.1399,0,1
68,274,379.7566385,0.393,1
68,282,5.6687264,0.438,1
68,299,854.346921,0.454,1
68,193,125.79167,0.489,1
68,178,592.1835216,0.515,1
68,184,1573.11889,0.607,1
68,155,1153.51578,0.612,1
68,183,1213.265328,0.651,1
68,219,1825.341521,0.661,1
68,218,2352.518156,0.669,1
68,247,1276.28834,0.675,1
68,22,2835.973972,0.689,1
68.1,192,1158.282672,0.494,1
68.1,166,834.5412953,0.608,1
68.1,187,3113.48635,0.656,1
68.1,217,2581.818554,0.666,1
68.1,219,276.289146,0.671,1
68.1,218,3332.918533,0.691,1
68.1,252,3126.71767,0.713,1
68.1,227,4385.379355,0.72,1
68.2,152,494.51466,0.506,1
68.2,21,3419.275719,0.677,1
68.2,247,2378.33927,0.703,1
68.2,261,8562.89598,0.776,1
68.3,214,36.48773,0,1
68.3,188,1272.44825,0.492,1
68.3,179,198.687123,0.553,1
68.3,225,2458.45976,0.572,1
68.3,152,1161.76935,0.603,1
68.3,181,1613.18878,0.615,1
68.3,183,1377.8214,0.657,1
68.3,185,3634.27685,0.662,1
68.3,196,3364.423711,0.668,1
68.3,214,3658.63832,0.699,1
68.4,172,692.1166842,0.529,1
68.4,211,1568.376276,0.546,1
68.4,154,145.2163,0.668,1
68.4,162,1578.4239,0.675,1
68.4,214,2842.938353,0.676,1
68.4,21,3679.99523,0.684,1
68.4,225,4181.583321,0.729,1
68.4,256,1674.98771,0.773,1
68.5,186,1642.837974,0.497,1
68.5,183,1564.966945,0.664,1
68.5,183,3687.953996,0.669,1
68.5,199,3556.561825,0.678,1
68.5,211,2878.33837,0.679,1
68.5,211,3749.939813,0.695,1
68.5,224,11634.42422,0.766,1
68.6,151,541.651484,0.513,1
68.6,16,1332.382358,0.519,1
68.6,29,478.82327,0.698,1
68.7,184,1858.689868,0.505,1
68.7,174,1163.18977,0.558,1
68.7,223,2422.816,0.581,1
68.7,181,362.663981,0.677,1
68.7,197,3831.53819,0.691,1
68.7,26,4177.657789,0.7,1
68.8,182,188.5159,0.509,1
68.8,183,29.652622,0.512,1
68.8,164,954.725253,0.613,1
68.8,184,174.468298,0.673,1
68.8,222,3944.1839,0.733,1
68.9,167,681.7925868,0.538,1
68.9,219,2338.772244,0.615,1
68.9,182,4974.2693,0.649,1
68.9,25,3595.8855,0.672,1
68.9,179,3491.595887,0.682,1
68.9,23,3369.48247,0.704,1
68.9,243,3848.215966,0.723,1
69,18,1469.849149,0,1
69,227,416.14838,0.341,1
69,279,1253.657431,0.436,1
69,221,944.134851,0.466,1
69,265,274.819723,0.473,1
69,155,1336.775376,0.53,1
69,267,1312.67557,0.547,1
69,218,2238.4116,0.607,1
69,371,6876.953821,0.652,1
69,191,3933.332215,0.695,1
69.1,179,1362.61731,0,1
69.1,147,615.7775411,0.52,1
69.1,219,235.882889,0.589,1
69.1,185,197.551233,0.681,1
69.1,176,3336.16686,0.686,1
69.1,197,174.6692,0.705,1
69.1,2,3651.966784,0.706,1
69.1,197,643.947262,0.709,1
69.1,194,6935.721451,0.715,1
69.1,214,12387.18982,0.774,1
69.2,177,1922.41388,0.514,1
69.2,165,743.7653489,0.555,1
69.2,28,277.83438,0.567,1
69.2,154,2473.85776,0.682,1
69.2,184,25.448414,0.69,1
69.2,197,4353.121392,0.709,1
69.2,192,749.626612,0.721,1
69.2,231,2545.48341,0.734,1
69.3,176,1353.934819,0,1
69.3,162,688.6172788,0.545,1
69.3,21,171.771491,0.553,1
69.3,163,14.214412,0.617,1
69.3,167,4521.3247,0.638,1
69.3,214,2421.9662,0.666,1
69.3,199,527.92,0.678,1
69.3,191,884.518666,0.729,1
69.4,173,158.52724,0,1
69.4,24,1753.349471,0.56,1
69.4,216,2522.7968,0.596,1
69.4,184,4187.3783,0.692,1
69.4,184,2137.576852,0.697,1
69.4,188,4516.24675,0.7,1
69.4,189,4673.63848,0.702,1
69.4,195,4546.73854,0.714,1
69.4,19,129.51914,0.736,1
69.4,242,14212.687,0.785,1
69.5,144,681.125368,0.523,1
69.5,15,1413.757176,0.54,1
69.5,17,6925.22446,0.659,1
69.5,22,5761.39536,0.684,1
69.5,184,4258.788611,0.7,1
69.5,186,4344.15177,0.7,1
69.5,189,12323.1275,0.745,1
69.5,28,1389.8561,0.782,1
69.6,169,1787.94723,0,1
69.6,158,76.2386977,0.551,1
69.6,21,1872.73783,0.564,1
69.6,139,2182.99711,0.577,1
69.6,162,114.45919,0.622,1
69.6,181,447.22796,0.699,1
69.6,181,4324.876427,0.7,1
69.6,192,4763.68956,0.719,1
69.6,188,1495.96337,0.751,1
69.6,237,15154.45687,0.792,1
69.7,24,2256.56724,0.57,1
69.7,161,918.6771543,0.625,1
69.7,28,3681.5993,0.668,1
69.7,19,546.3728,0.727,1
69.7,187,1653.1844,0.76,1
69.8,211,2613.645177,0.604,1
69.8,196,6858.163158,0.691,1
69.8,18,4688.538443,0.706,1
69.8,212,2965.142365,0.728,1
69.8,226,4735.484827,0.739,1
69.9,155,1239.377855,0,1
69.9,165,1886.433359,0,1
69.9,142,757.6717572,0.535,1
69.9,146,1721.973863,0.551,1
69.9,29,2519.737387,0.628,1
69.9,228,3572.8513,0.728,0
69.9,188,4921.89629,0.734,1
69.9,185,21188.11857,0.767,1
69.9,22,1286.56511,0.789,1
70,215,2632.79942,0.636,1
70,196,7443.85178,0.696,1
70,177,4852.223666,0.705,1
70,224,6376.183153,0.755,1
70,226,5176.172649,0.771,1
70,229,15543.67653,0.799,1
71,174,188.783165,0.551,1
71,135,951.8894535,0.565,1
71,161,247.97823,0.572,1
71,133,2191.478567,0.575,1
71,194,191.55157,0.587,1
71,145,2965.82434,0.59,1
71,213,2835.281237,0.644,1
71,177,3861.32414,0.667,1
71,179,3146.95177,0.685,1
71,175,4849.997495,0.706,1
71,218,3352.731296,0.716,0
71,147,6269.58123,0.732,1
71,198,429.71554,0.744,1
71,183,1458.8796,0.773,1
71,172,1967.83283,0.773,1
71,26,6351.8125,0.776,0
71.1,173,5773.73577,0,1
71.1,144,1768.92132,0.572,1
71.1,193,3187.845296,0.609,1
71.1,194,27.564826,0.64,1
71.1,163,169.28586,0.709,0
71.1,174,2774.95586,0.722,0
71.1,146,375.442638,0.736,1
71.1,13,5842.85784,0.737,1
71.1,171,19325.24283,0.778,1
71.1,224,14961.56818,0.82,0
71.2,141,3275.91684,0.591,1
71.2,194,1175.116225,0.592,1
71.2,17,1417.26582,0.624,1
71.2,194,1893.145377,0.649,1
71.2,188,2862.154836,0.656,1
71.2,23,334.83817,0.657,1
71.2,138,366.57,0.658,1
71.2,179,9484.56898,0.719,1
71.2,21,353.147337,0.757,0
71.2,17,17321.83373,0.779,1
71.2,211,538.347781,0.791,1
71.3,171,113.4546,0.557,1
71.3,189,3299.65139,0.616,1
71.3,145,1757.17797,0.636,1
71.3,178,9272.413453,0.708,1
71.3,144,4676.96753,0.74,1
71.3,195,2124.662666,0.748,1
71.3,161,562.549434,0.756,1
71.4,132,184.56543,0.57,1
71.4,14,1976.45856,0.574,1
71.4,128,2494.353552,0.581,1
71.4,138,3158.58688,0.592,1
71.4,189,3452.828934,0.611,1
